company_name,phone_number,website,email_address,instagram,twitter,linkedin,facebook,telegram
Nokia,+358 10 4488 000,"http://nokia.com/, https://www.nokia.com/",press.services@nokia.com,https://www.instagram.com/nokia/?hl=en,https://twitter.com/nokia,https://www.linkedin.com/company/nokia,https://www.facebook.com/nokia/,
Facebook (platform),,"https://ru-ru.facebook.com/, http://facebook.com, https://www.facebook.com",,https://www.instagram.com/facebookapp/,https://twitter.com/facebook,https://www.linkedin.com/company/facebook,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AT1q40bOEKN6XSbKugoPI67xE5ksEw9xulusMQBhj81tO1AI8JfAlq64nx-MP6dNO-Xuyi5VKAfOqz0Rk5WIeUUOpcoOh1o0szfZOI_Io8AMS1YQDLf7H0tRdln12HrSglL69EjBKinYCWydvV9vR4tHW168ZA,
"Nike, Inc.","1-800-344-6453, 1-800-806-6453, 1-800-640-8007, 1-503-671-6453, 1-212-367-4447, +31 35 6266453","https://www.nike.com, https://nikeinc.com/",consumercare.india@nike.com,https://instagram.com/nike,https://twitter.com/nike,https://www.linkedin.com/company/nike,https://www.facebook.com/nike,
Amazon (company),"888-280-4331, 1 (888) 280-4331","https://www.amazon.co.uk/, https://www.amazon.in/, https://www.amazon.ca/, http://amazon.com, https://www.amazon.com, https://www.amazon.it/, https://www.amazon.se/, https://www.amazon.de/, https://www.amazon.com.br/, https://www.amazon.com.tr/, https://www.amazon.com.au/, https://amazon.fr/, https://www.amazon.nl/, https://www.amazon.pl/, https://www.amazon.es/, https://www.amazon.cn/, https://www.amazon.com.mx/","cis@amazon.com, primary@amazon.com",https://www.instagram.com/amazon/,https://twitter.com/amazon,http://www.linkedin.com/company/amazon.com,http://www.facebook.com/Amazon,
Cosmos,,"https://chain.link/, https://cosmos.network/","hello@cosmos.network, hello@tendermint.com",,https://twitter.com/cosmos,https://www.linkedin.com/company/trivium-corporate-solutions/,https://www.facebook.com/Cosmos.Network.Updates/,https://t.me/cosmosproject
Uber,415-612-8582,"http://uber.com, https://www.uber.com/, https://eng.uber.com/",ubereng@uber.com,https://www.instagram.com/uber/,https://twitter.com/uber,https://www.linkedin.com/company/uber-com/,https://www.facebook.com/uber,
IKEA,,"https://www.ikea.com/, https://www.ikea.com/au/en/, http://ikea.com",,https://www.instagram.com/ikea/,https://twitter.com/IKEA,https://linkedin.com/company/ikea/,https://www.facebook.com/IKEAUSA,
YouTube,,https://www.youtube.com/,,https://www.instagram.com/youtube/?hl=en,https://twitter.com/YouTube?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,http://www.linkedin.com/company/youtube,https://www.facebook.com/youtube,
United Technologies,(860) 728-7000,"http://www.utc.com, http://utc.com",,https://www.instagram.com/unitedtechnologiescorp/,https://twitter.com/UTC,https://www.linkedin.com/company/united-technologies,https://www.facebook.com/RaytheonTechnologies/,
LinkedIn,,"https://www.linkedin.com/, http://linkedin.com/",,https://www.instagram.com/linkedin/,https://twitter.com/LinkedIn,http://www.linkedin.com/company/linkedin/careers?trk=hb_ft_work,https://www.facebook.com/LinkedIn,
